,neighborhood,neighborhood_no,area,Year,Indicator Name,Value
10,Lake City,201,142.2670425,1990,10_year_growth_kids,
11,Greater Duwamish,502,4953.281793,1990,10_year_growth_kids,
12,Madison-Miller,131,145.3234203,1990,10_year_growth_kids,
13,Green Lake,207,107.4446385,1990,10_year_growth_kids,
14,Northgate,301,412.2911233,1990,10_year_growth_kids,
15,North Beacon Hill,110,266.8762908,1990,10_year_growth_kids,
16,Ballard-Interbay-Northend,501,931.9728637,1990,10_year_growth_kids,
17,Greenwood-Phinney Ridge,102,94.15764497,1990,10_year_growth_kids,
18,Downtown,413,953.2817465,1990,10_year_growth_kids,
19,Uptown,412,333.000698,1990,10_year_growth_kids,
20,Rainier Beach,204,346.1438736,1990,10_year_growth_kids,
21,23rd & Union-Jackson,109,625.2664128,1990,10_year_growth_kids,
22,Bitter Lake Village,114,363.7795662,1990,10_year_growth_kids,
23,Mt Baker,305,491.0180584,1990,10_year_growth_kids,
24,Admiral,113,98.24835065,1990,10_year_growth_kids,
25,Aurora-Licton Springs,101,326.9585992,1990,10_year_growth_kids,
26,Morgan Junction,206,113.3093773,1990,10_year_growth_kids,
27,Eastlake,107,199.2559558,1990,10_year_growth_kids,
28,Wallingford,203,258.0056129,1990,10_year_growth_kids,
29,Ballard,303,495.4763052,1990,10_year_growth_kids,
30,South Park,128,263.7986201,1990,10_year_growth_kids,
31,Othello,123,498.9632413,1990,10_year_growth_kids,
0,Upper Queen Anne,106,52.65872029,2000,10_year_growth_kids,1.0
1,Fremont,302,214.511083,2000,10_year_growth_kids,-95.0
2,West Seattle Junction,205,270.4170255,2000,10_year_growth_kids,21.0
3,Columbia City,111,334.5433404,2000,10_year_growth_kids,88.0
4,First Hill/Capitol Hill,414,916.2218015,2000,10_year_growth_kids,152.0
5,Roosevelt,202,170.2117761,2000,10_year_growth_kids,-14.0
6,South Lake Union,312,339.886927,2000,10_year_growth_kids,42.0
7,University District,401,751.9638778,2000,10_year_growth_kids,-33.0
8,Crown Hill,103,270.9887543,2000,10_year_growth_kids,65.0
9,Westwood-Highland Park,127,275.0621961,2000,10_year_growth_kids,121.0
10,Lake City,201,142.2670425,2000,10_year_growth_kids,141.0
11,Greater Duwamish,502,4953.281793,2000,10_year_growth_kids,65.0
12,Madison-Miller,131,145.3234203,2000,10_year_growth_kids,-146.0
13,Green Lake,207,107.4446385,2000,10_year_growth_kids,-9.0
14,Northgate,301,412.2911233,2000,10_year_growth_kids,246.0
15,North Beacon Hill,110,266.8762908,2000,10_year_growth_kids,-9.0
16,Ballard-Interbay-Northend,501,931.9728637,2000,10_year_growth_kids,-41.0
17,Greenwood-Phinney Ridge,102,94.15764497,2000,10_year_growth_kids,95.0
18,Downtown,413,953.2817465,2000,10_year_growth_kids,479.0
19,Uptown,412,333.000698,2000,10_year_growth_kids,-25.0
20,Rainier Beach,204,346.1438736,2000,10_year_growth_kids,34.0
21,23rd & Union-Jackson,109,625.2664128,2000,10_year_growth_kids,67.0
22,Bitter Lake Village,114,363.7795662,2000,10_year_growth_kids,17.0
23,Mt Baker,305,491.0180584,2000,10_year_growth_kids,85.0
24,Admiral,113,98.24835065,2000,10_year_growth_kids,14.0
25,Aurora-Licton Springs,101,326.9585992,2000,10_year_growth_kids,-9.0
26,Morgan Junction,206,113.3093773,2000,10_year_growth_kids,52.0
27,Eastlake,107,199.2559558,2000,10_year_growth_kids,-26.0
28,Wallingford,203,258.0056129,2000,10_year_growth_kids,29.0
29,Ballard,303,495.4763052,2000,10_year_growth_kids,-59.0
30,South Park,128,263.7986201,2000,10_year_growth_kids,217.0
31,Othello,123,498.9632413,2000,10_year_growth_kids,-250.0
0,Upper Queen Anne,106,52.65872029,2010,10_year_growth_kids,10.0
1,Fremont,302,214.511083,2010,10_year_growth_kids,44.0
2,West Seattle Junction,205,270.4170255,2010,10_year_growth_kids,4.0
3,Columbia City,111,334.5433404,2010,10_year_growth_kids,-455.0
4,First Hill/Capitol Hill,414,916.2218015,2010,10_year_growth_kids,-95.0
5,Roosevelt,202,170.2117761,2010,10_year_growth_kids,52.0
6,South Lake Union,312,339.886927,2010,10_year_growth_kids,36.0
7,University District,401,751.9638778,2010,10_year_growth_kids,-107.0
8,Crown Hill,103,270.9887543,2010,10_year_growth_kids,103.0
9,Westwood-Highland Park,127,275.0621961,2010,10_year_growth_kids,2.0
10,Lake City,201,142.2670425,2010,10_year_growth_kids,113.0
11,Greater Duwamish,502,4953.281793,2010,10_year_growth_kids,-78.0
12,Madison-Miller,131,145.3234203,2010,10_year_growth_kids,116.0
13,Green Lake,207,107.4446385,2010,10_year_growth_kids,69.0
14,Northgate,301,412.2911233,2010,10_year_growth_kids,141.0
15,North Beacon Hill,110,266.8762908,2010,10_year_growth_kids,-189.0
16,Ballard-Interbay-Northend,501,931.9728637,2010,10_year_growth_kids,1.0
17,Greenwood-Phinney Ridge,102,94.15764497,2010,10_year_growth_kids,19.0
18,Downtown,413,953.2817465,2010,10_year_growth_kids,-22.0
19,Uptown,412,333.000698,2010,10_year_growth_kids,75.0
20,Rainier Beach,204,346.1438736,2010,10_year_growth_kids,-106.0
21,23rd & Union-Jackson,109,625.2664128,2010,10_year_growth_kids,-290.0
22,Bitter Lake Village,114,363.7795662,2010,10_year_growth_kids,201.0
23,Mt Baker,305,491.0180584,2010,10_year_growth_kids,30.0
24,Admiral,113,98.24835065,2010,10_year_growth_kids,39.0
25,Aurora-Licton Springs,101,326.9585992,2010,10_year_growth_kids,63.0
26,Morgan Junction,206,113.3093773,2010,10_year_growth_kids,25.0
27,Eastlake,107,199.2559558,2010,10_year_growth_kids,86.0
28,Wallingford,203,258.0056129,2010,10_year_growth_kids,224.0
29,Ballard,303,495.4763052,2010,10_year_growth_kids,72.0
30,South Park,128,263.7986201,2010,10_year_growth_kids,0.0
31,Othello,123,498.9632413,2010,10_year_growth_kids,671.0
0,Upper Queen Anne,106,52.65872029,2020,10_year_growth_kids,65.0
1,Fremont,302,214.511083,2020,10_year_growth_kids,124.0
2,West Seattle Junction,205,270.4170255,2020,10_year_growth_kids,239.0
3,Columbia City,111,334.5433404,2020,10_year_growth_kids,510.0
4,First Hill/Capitol Hill,414,916.2218015,2020,10_year_growth_kids,108.0
5,Roosevelt,202,170.2117761,2020,10_year_growth_kids,132.0
6,South Lake Union,312,339.886927,2020,10_year_growth_kids,391.0
7,University District,401,751.9638778,2020,10_year_growth_kids,484.0
8,Crown Hill,103,270.9887543,2020,10_year_growth_kids,180.0
9,Westwood-Highland Park,127,275.0621961,2020,10_year_growth_kids,-146.0
10,Lake City,201,142.2670425,2020,10_year_growth_kids,115.0
11,Greater Duwamish,502,4953.281793,2020,10_year_growth_kids,110.0
12,Madison-Miller,131,145.3234203,2020,10_year_growth_kids,32.0
13,Green Lake,207,107.4446385,2020,10_year_growth_kids,102.0
14,Northgate,301,412.2911233,2020,10_year_growth_kids,36.0
15,North Beacon Hill,110,266.8762908,2020,10_year_growth_kids,54.0
16,Ballard-Interbay-Northend,501,931.9728637,2020,10_year_growth_kids,138.0
17,Greenwood-Phinney Ridge,102,94.15764497,2020,10_year_growth_kids,36.0
18,Downtown,413,953.2817465,2020,10_year_growth_kids,874.0
19,Uptown,412,333.000698,2020,10_year_growth_kids,374.0
20,Rainier Beach,204,346.1438736,2020,10_year_growth_kids,193.0
21,23rd & Union-Jackson,109,625.2664128,2020,10_year_growth_kids,89.0
22,Bitter Lake Village,114,363.7795662,2020,10_year_growth_kids,332.0
23,Mt Baker,305,491.0180584,2020,10_year_growth_kids,26.0
24,Admiral,113,98.24835065,2020,10_year_growth_kids,17.0
25,Aurora-Licton Springs,101,326.9585992,2020,10_year_growth_kids,29.0
26,Morgan Junction,206,113.3093773,2020,10_year_growth_kids,26.0
27,Eastlake,107,199.2559558,2020,10_year_growth_kids,138.0
28,Wallingford,203,258.0056129,2020,10_year_growth_kids,138.0
29,Ballard,303,495.4763052,2020,10_year_growth_kids,379.0
30,South Park,128,263.7986201,2020,10_year_growth_kids,-170.0
31,Othello,123,498.9632413,2020,10_year_growth_kids,58.0
0,Upper Queen Anne,106,52.65872029,1990,10_year_frac_growth_kids,
1,Fremont,302,214.511083,1990,10_year_frac_growth_kids,
2,West Seattle Junction,205,270.4170255,1990,10_year_frac_growth_kids,
3,Columbia City,111,334.5433404,1990,10_year_frac_growth_kids,
4,First Hill/Capitol Hill,414,916.2218015,1990,10_year_frac_growth_kids,
5,Roosevelt,202,170.2117761,1990,10_year_frac_growth_kids,
6,South Lake Union,312,339.886927,1990,10_year_frac_growth_kids,
7,University District,401,751.9638778,1990,10_year_frac_growth_kids,
8,Crown Hill,103,270.9887543,1990,10_year_frac_growth_kids,
9,Westwood-Highland Park,127,275.0621961,1990,10_year_frac_growth_kids,
10,Lake City,201,142.2670425,1990,10_year_frac_growth_kids,
11,Greater Duwamish,502,4953.281793,1990,10_year_frac_growth_kids,
12,Madison-Miller,131,145.3234203,1990,10_year_frac_growth_kids,
13,Green Lake,207,107.4446385,1990,10_year_frac_growth_kids,
14,Northgate,301,412.2911233,1990,10_year_frac_growth_kids,
15,North Beacon Hill,110,266.8762908,1990,10_year_frac_growth_kids,
16,Ballard-Interbay-Northend,501,931.9728637,1990,10_year_frac_growth_kids,
17,Greenwood-Phinney Ridge,102,94.15764497,1990,10_year_frac_growth_kids,
18,Downtown,413,953.2817465,1990,10_year_frac_growth_kids,
19,Uptown,412,333.000698,1990,10_year_frac_growth_kids,
20,Rainier Beach,204,346.1438736,1990,10_year_frac_growth_kids,
21,23rd & Union-Jackson,109,625.2664128,1990,10_year_frac_growth_kids,
22,Bitter Lake Village,114,363.7795662,1990,10_year_frac_growth_kids,
23,Mt Baker,305,491.0180584,1990,10_year_frac_growth_kids,
24,Admiral,113,98.24835065,1990,10_year_frac_growth_kids,
25,Aurora-Licton Springs,101,326.9585992,1990,10_year_frac_growth_kids,
26,Morgan Junction,206,113.3093773,1990,10_year_frac_growth_kids,
27,Eastlake,107,199.2559558,1990,10_year_frac_growth_kids,
28,Wallingford,203,258.0056129,1990,10_year_frac_growth_kids,
29,Ballard,303,495.4763052,1990,10_year_frac_growth_kids,
30,South Park,128,263.7986201,1990,10_year_frac_growth_kids,
31,Othello,123,498.9632413,1990,10_year_frac_growth_kids,
0,Upper Queen Anne,106,52.65872029,2000,10_year_frac_growth_kids,0.008
1,Fremont,302,214.511083,2000,10_year_frac_growth_kids,-0.35714285714285715
2,West Seattle Junction,205,270.4170255,2000,10_year_frac_growth_kids,0.05084745762711865
3,Columbia City,111,334.5433404,2000,10_year_frac_growth_kids,0.06591760299625468
4,First Hill/Capitol Hill,414,916.2218015,2000,10_year_frac_growth_kids,0.08791208791208792
5,Roosevelt,202,170.2117761,2000,10_year_frac_growth_kids,-0.04745762711864407
6,South Lake Union,312,339.886927,2000,10_year_frac_growth_kids,0.525
7,University District,401,751.9638778,2000,10_year_frac_growth_kids,-0.05574324324324324
8,Crown Hill,103,270.9887543,2000,10_year_frac_growth_kids,0.11226252158894647
9,Westwood-Highland Park,127,275.0621961,2000,10_year_frac_growth_kids,0.12474226804123711
10,Lake City,201,142.2670425,2000,10_year_frac_growth_kids,0.5573122529644269
11,Greater Duwamish,502,4953.281793,2000,10_year_frac_growth_kids,0.4391891891891892
12,Madison-Miller,131,145.3234203,2000,10_year_frac_growth_kids,-0.30416666666666664
13,Green Lake,207,107.4446385,2000,10_year_frac_growth_kids,-0.08737864077669903
14,Northgate,301,412.2911233,2000,10_year_frac_growth_kids,0.5603644646924829
15,North Beacon Hill,110,266.8762908,2000,10_year_frac_growth_kids,-0.008991008991008992
16,Ballard-Interbay-Northend,501,931.9728637,2000,10_year_frac_growth_kids,-0.38317757009345793
17,Greenwood-Phinney Ridge,102,94.15764497,2000,10_year_frac_growth_kids,0.36538461538461536
18,Downtown,413,953.2817465,2000,10_year_frac_growth_kids,1.7355072463768115
19,Uptown,412,333.000698,2000,10_year_frac_growth_kids,-0.14534883720930233
20,Rainier Beach,204,346.1438736,2000,10_year_frac_growth_kids,0.029335634167385678
21,23rd & Union-Jackson,109,625.2664128,2000,10_year_frac_growth_kids,0.032907662082514735
22,Bitter Lake Village,114,363.7795662,2000,10_year_frac_growth_kids,0.044854881266490766
23,Mt Baker,305,491.0180584,2000,10_year_frac_growth_kids,0.09129967776584318
24,Admiral,113,98.24835065,2000,10_year_frac_growth_kids,0.09655172413793103
25,Aurora-Licton Springs,101,326.9585992,2000,10_year_frac_growth_kids,-0.012080536912751677
26,Morgan Junction,206,113.3093773,2000,10_year_frac_growth_kids,0.27225130890052357
27,Eastlake,107,199.2559558,2000,10_year_frac_growth_kids,-0.18309859154929578
28,Wallingford,203,258.0056129,2000,10_year_frac_growth_kids,0.06473214285714286
29,Ballard,303,495.4763052,2000,10_year_frac_growth_kids,-0.06203995793901157
30,South Park,128,263.7986201,2000,10_year_frac_growth_kids,0.3401253918495298
31,Othello,123,498.9632413,2000,10_year_frac_growth_kids,-0.10692899914456801
0,Upper Queen Anne,106,52.65872029,2010,10_year_frac_growth_kids,0.07936507936507936
1,Fremont,302,214.511083,2010,10_year_frac_growth_kids,0.2573099415204678
2,West Seattle Junction,205,270.4170255,2010,10_year_frac_growth_kids,0.009216589861751152
3,Columbia City,111,334.5433404,2010,10_year_frac_growth_kids,-0.31974701335207306
4,First Hill/Capitol Hill,414,916.2218015,2010,10_year_frac_growth_kids,-0.050505050505050504
5,Roosevelt,202,170.2117761,2010,10_year_frac_growth_kids,0.18505338078291814
6,South Lake Union,312,339.886927,2010,10_year_frac_growth_kids,0.29508196721311475
7,University District,401,751.9638778,2010,10_year_frac_growth_kids,-0.19141323792486584
8,Crown Hill,103,270.9887543,2010,10_year_frac_growth_kids,0.15993788819875776
9,Westwood-Highland Park,127,275.0621961,2010,10_year_frac_growth_kids,0.0018331805682859762
10,Lake City,201,142.2670425,2010,10_year_frac_growth_kids,0.2868020304568528
11,Greater Duwamish,502,4953.281793,2010,10_year_frac_growth_kids,-0.36619718309859156
12,Madison-Miller,131,145.3234203,2010,10_year_frac_growth_kids,0.3473053892215569
13,Green Lake,207,107.4446385,2010,10_year_frac_growth_kids,0.7340425531914894
14,Northgate,301,412.2911233,2010,10_year_frac_growth_kids,0.20583941605839415
15,North Beacon Hill,110,266.8762908,2010,10_year_frac_growth_kids,-0.1905241935483871
16,Ballard-Interbay-Northend,501,931.9728637,2010,10_year_frac_growth_kids,0.015151515151515152
17,Greenwood-Phinney Ridge,102,94.15764497,2010,10_year_frac_growth_kids,0.05352112676056338
18,Downtown,413,953.2817465,2010,10_year_frac_growth_kids,-0.02913907284768212
19,Uptown,412,333.000698,2010,10_year_frac_growth_kids,0.5102040816326531
20,Rainier Beach,204,346.1438736,2010,10_year_frac_growth_kids,-0.08885163453478626
21,23rd & Union-Jackson,109,625.2664128,2010,10_year_frac_growth_kids,-0.1378982406086543
22,Bitter Lake Village,114,363.7795662,2010,10_year_frac_growth_kids,0.5075757575757576
23,Mt Baker,305,491.0180584,2010,10_year_frac_growth_kids,0.02952755905511811
24,Admiral,113,98.24835065,2010,10_year_frac_growth_kids,0.24528301886792453
25,Aurora-Licton Springs,101,326.9585992,2010,10_year_frac_growth_kids,0.08559782608695653
26,Morgan Junction,206,113.3093773,2010,10_year_frac_growth_kids,0.102880658436214
27,Eastlake,107,199.2559558,2010,10_year_frac_growth_kids,0.7413793103448276
28,Wallingford,203,258.0056129,2010,10_year_frac_growth_kids,0.469601677148847
29,Ballard,303,495.4763052,2010,10_year_frac_growth_kids,0.08071748878923767
30,South Park,128,263.7986201,2010,10_year_frac_growth_kids,0.0
31,Othello,123,498.9632413,2010,10_year_frac_growth_kids,0.321360153256705
0,Upper Queen Anne,106,52.65872029,2020,10_year_frac_growth_kids,0.47794117647058826
1,Fremont,302,214.511083,2020,10_year_frac_growth_kids,0.5767441860465117
2,West Seattle Junction,205,270.4170255,2020,10_year_frac_growth_kids,0.545662100456621
3,Columbia City,111,334.5433404,2020,10_year_frac_growth_kids,0.5268595041322314
4,First Hill/Capitol Hill,414,916.2218015,2020,10_year_frac_growth_kids,0.060470324748040316
5,Roosevelt,202,170.2117761,2020,10_year_frac_growth_kids,0.3963963963963964
6,South Lake Union,312,339.886927,2020,10_year_frac_growth_kids,2.4746835443037973
7,University District,401,751.9638778,2020,10_year_frac_growth_kids,1.0707964601769913
8,Crown Hill,103,270.9887543,2020,10_year_frac_growth_kids,0.24096385542168675
9,Westwood-Highland Park,127,275.0621961,2020,10_year_frac_growth_kids,-0.13357731015553523
10,Lake City,201,142.2670425,2020,10_year_frac_growth_kids,0.22682445759368836
11,Greater Duwamish,502,4953.281793,2020,10_year_frac_growth_kids,0.8148148148148148
12,Madison-Miller,131,145.3234203,2020,10_year_frac_growth_kids,0.07111111111111111
13,Green Lake,207,107.4446385,2020,10_year_frac_growth_kids,0.6257668711656442
14,Northgate,301,412.2911233,2020,10_year_frac_growth_kids,0.043583535108958835
15,North Beacon Hill,110,266.8762908,2020,10_year_frac_growth_kids,0.06724782067247821
16,Ballard-Interbay-Northend,501,931.9728637,2020,10_year_frac_growth_kids,2.0597014925373136
17,Greenwood-Phinney Ridge,102,94.15764497,2020,10_year_frac_growth_kids,0.0962566844919786
18,Downtown,413,953.2817465,2020,10_year_frac_growth_kids,1.1923601637107777
19,Uptown,412,333.000698,2020,10_year_frac_growth_kids,1.6846846846846846
20,Rainier Beach,204,346.1438736,2020,10_year_frac_growth_kids,0.17755289788408463
21,23rd & Union-Jackson,109,625.2664128,2020,10_year_frac_growth_kids,0.049089906232763374
22,Bitter Lake Village,114,363.7795662,2020,10_year_frac_growth_kids,0.5561139028475712
23,Mt Baker,305,491.0180584,2020,10_year_frac_growth_kids,0.0248565965583174
24,Admiral,113,98.24835065,2020,10_year_frac_growth_kids,0.08585858585858586
25,Aurora-Licton Springs,101,326.9585992,2020,10_year_frac_growth_kids,0.03629536921151439
26,Morgan Junction,206,113.3093773,2020,10_year_frac_growth_kids,0.09701492537313433
27,Eastlake,107,199.2559558,2020,10_year_frac_growth_kids,0.6831683168316832
28,Wallingford,203,258.0056129,2020,10_year_frac_growth_kids,0.19686162624821682
29,Ballard,303,495.4763052,2020,10_year_frac_growth_kids,0.39315352697095435
30,South Park,128,263.7986201,2020,10_year_frac_growth_kids,-0.19883040935672514
31,Othello,123,498.9632413,2020,10_year_frac_growth_kids,0.021022109459949256
