,Service Area,School Name,Enrollment,Change,Year
0,Aki Kurose,Martin Luther King Jr.,369.0,-27.0,2010
1,Aki Kurose,Dunlap,414.0,7.0,2010
2,Aki Kurose,Emerson,376.0,-11.0,2010
3,Aki Kurose,Graham Hill,400.0,15.0,2010
4,Aki Kurose,South Shore,601.0,80.0,2010
5,Aki Kurose,Wing Luke,357.0,-7.0,2010
6,Denny,Arbor Heights,376.0,33.0,2010
7,Denny,Concord Intl,373.0,30.0,2010
8,Denny,Highland Park,420.0,5.0,2010
9,Denny,Roxhill,334.0,22.0,2010
10,Denny,Sanislo,315.0,-10.0,2010
11,Denny,West Seattle Elem,360.0,28.0,2010
12,Eckstein,AS #1,150.0,-39.0,2010
13,Eckstein,Bryant,570.0,33.0,2010
14,Eckstein,Green Lake,285.0,0.0,2010
15,Eckstein,Jane Addams,448.0,103.0,2010
16,Eckstein,John Rogers,280.0,-40.0,2010
17,Eckstein,Olympic Hills,269.0,-14.0,2010
18,Eckstein,Olympic View,487.0,11.0,2010
19,Eckstein,Sacajawea,273.0,-37.0,2010
20,Eckstein,Sand Point,79.0,79.0,2010
21,Eckstein,Thornton Creek,349.0,18.0,2010
22,Eckstein,View Ridge,546.0,46.0,2010
23,Eckstein,Wedgwood,449.0,14.0,2010
24,Hamilton,B. F. Day,331.0,6.0,2010
25,Hamilton,J. Stanford Intl,426.0,29.0,2010
26,Hamilton,Laurelhurst,437.0,-27.0,2010
27,Hamilton,McDonald Intl,57.0,57.0,2010
28,Hamilton,West Woodland,459.0,17.0,2010
29,Madison,Alki,363.0,0.0,2010
30,Madison,Gatewood,462.0,44.0,2010
31,Madison,Lafayette,526.0,4.0,2010
32,Madison,Pathfinder,492.0,30.0,2010
33,Madison,Schmitz Park,414.0,59.0,2010
34,McClure,Catharine Blaine,548.0,5.0,2010
35,McClure,Coe,433.0,-44.0,2010
36,McClure,John Hay,487.0,20.0,2010
37,McClure,Lawton,436.0,5.0,2010
38,McClure,Queen Anne,113.0,113.0,2010
39,Mercer,Beacon Hill Intl,448.0,7.0,2010
40,Mercer,Dearborn Park,358.0,-6.0,2010
41,Mercer,Hawthorne,299.0,15.0,2010
42,Mercer,Kimball,497.0,11.0,2010
43,Mercer,Maple,463.0,-8.0,2010
44,Mercer,Orca,508.0,22.0,2010
45,Mercer,Van Asselt,553.0,3.0,2010
46,Washington,Gatzert,349.0,46.0,2010
47,Washington,John Muir,416.0,50.0,2010
48,Washington,Leschi,350.0,2.0,2010
49,Washington,Lowell,545.0,104.0,2010
50,Washington,Madrona,356.0,-96.0,2010
51,Washington,McGilvra,269.0,12.0,2010
52,Washington,Montlake,251.0,11.0,2010
53,Washington,Stevens,383.0,40.0,2010
54,Washington,T. Marshall,411.0,-36.0,2010
55,Washington,TOPS,510.0,-7.0,2010
56,Whitman,Adams,433.0,20.0,2010
57,Whitman,Broadview-Thomson,746.0,-22.0,2010
58,Whitman,Daniel Bagley,385.0,15.0,2010
59,Whitman,Greenwood,327.0,-13.0,2010
60,Whitman,Loyal Heights,395.0,8.0,2010
61,Whitman,North Beach,328.0,-11.0,2010
62,Whitman,Northgate,266.0,7.0,2010
63,Whitman,Salmon Bay,589.0,-15.0,2010
64,Whitman,Whittier,453.0,-1.0,2010
65,Middle Schools,Aki Kurose,588.0,27.0,2010
66,Middle Schools,Denny Intl,781.0,77.0,2010
67,Middle Schools,Eckstein,1213.0,65.0,2010
68,Middle Schools,Hamilton Intl,853.0,7.0,2010
69,Middle Schools,Madison,849.0,-57.0,2010
70,Middle Schools,McClure,514.0,-38.0,2010
71,Middle Schools,Mercer,807.0,71.0,2010
72,Middle Schools,Washington,1061.0,42.0,2010
73,Middle Schools,Whitman,954.0,33.0,2010
74,High Schools,Ballard,1610.0,-22.0,2010
75,High Schools,Center School,299.0,9.0,2010
76,High Schools,Chief Sealth Intl,1078.0,82.0,2010
77,High Schools,Cleveland,738.0,43.0,2010
78,High Schools,Franklin,1301.0,66.0,2010
79,High Schools,Garfield,1788.0,146.0,2010
80,High Schools,Ingraham,970.0,-81.0,2010
81,High Schools,Nathan Hale,1129.0,40.0,2010
82,High Schools,Nova,332.0,-17.0,2010
83,High Schools,Rainier Beach,425.0,-75.0,2010
84,High Schools,Roosevelt,1685.0,32.0,2010
85,High Schools,West Seattle,1016.0,-121.0,2010
86,Service Schools,Ed. Serv. Center,49.0,-41.0,2010
87,Service Schools,Home School,154.0,-30.0,2010
88,Service Schools,InterAgency,366.0,-48.0,2010
89,Service Schools,Middle College,174.0,35.0,2010
90,Service Schools,Secondary BOC,212.0,-9.0,2010
91,Service Schools,South Lake,165.0,28.0,2010
92,Service Schools,SpEd Consortium,145.0,-15.0,2010
93,All,TOTAL,47008.0,1064.0,2010
0,Aki Kurose,Martin Luther King Jr.,349.0,-20.0,2011
1,Aki Kurose,Dunlap,364.0,-50.0,2011
2,Aki Kurose,Emerson,324.0,-52.0,2011
3,Aki Kurose,Graham Hill,388.0,-12.0,2011
4,Aki Kurose,Rainier View,169.0,169.0,2011
5,Aki Kurose,South Shore,594.0,-7.0,2011
6,Aki Kurose,Wing Luke,351.0,-6.0,2011
7,Denny,Arbor Heights,363.0,-13.0,2011
8,Denny,Concord Intl,391.0,18.0,2011
9,Denny,Highland Park,434.0,14.0,2011
10,Denny,Roxhill,377.0,43.0,2011
11,Denny,Sanislo,302.0,-13.0,2011
12,Denny,West Seattle Elem,406.0,46.0,2011
13,Eckstein,Bryant,548.0,-22.0,2011
14,Eckstein,Green Lake,264.0,-21.0,2011
15,Eckstein,Jane Addams,533.0,85.0,2011
16,Eckstein,John Rogers,247.0,-33.0,2011
17,Eckstein,Olympic Hills,267.0,-2.0,2011
18,Eckstein,Olympic View,469.0,-18.0,2011
19,Eckstein,Pinehurst,143.0,-7.0,2011
20,Eckstein,Sacajawea,260.0,-13.0,2011
21,Eckstein,Sand Point,202.0,123.0,2011
22,Eckstein,Thornton Creek,371.0,22.0,2011
23,Eckstein,View Ridge,590.0,44.0,2011
24,Eckstein,Wedgwood,446.0,-3.0,2011
25,Hamilton,B. F. Day,321.0,-10.0,2011
26,Hamilton,J. Stanford Intl,460.0,34.0,2011
27,Hamilton,Laurelhurst,420.0,-17.0,2011
28,Hamilton,McDonald Intl,187.0,130.0,2011
29,Hamilton,West Woodland,473.0,14.0,2011
30,Madison,Alki,355.0,-8.0,2011
31,Madison,Gatewood,484.0,22.0,2011
32,Madison,Lafayette,547.0,21.0,2011
33,Madison,Pathfinder,490.0,-2.0,2011
34,Madison,Schmitz Park,463.0,49.0,2011
35,McClure,Catharine Blaine,581.0,33.0,2011
36,McClure,Coe,423.0,-10.0,2011
37,McClure,John Hay,530.0,43.0,2011
38,McClure,Lawton,440.0,4.0,2011
39,McClure,Queen Anne,223.0,110.0,2011
40,Mercer,Beacon Hill Intl,452.0,4.0,2011
41,Mercer,Dearborn Park,309.0,-49.0,2011
42,Mercer,Hawthorne,296.0,-3.0,2011
43,Mercer,Kimball,471.0,-26.0,2011
44,Mercer,Maple,480.0,17.0,2011
45,Mercer,Orca,489.0,-19.0,2011
46,Mercer,Van Asselt,532.0,-21.0,2011
47,Washington,Gatzert,371.0,22.0,2011
48,Washington,John Muir,404.0,-12.0,2011
49,Washington,Leschi,378.0,28.0,2011
50,Washington,Lowell,616.0,71.0,2011
51,Washington,Madrona,315.0,-41.0,2011
52,Washington,McGilvra,298.0,29.0,2011
53,Washington,Montlake,238.0,-13.0,2011
54,Washington,Stevens,371.0,-12.0,2011
55,Washington,T. Marshall,451.0,40.0,2011
56,Washington,TOPS,501.0,-9.0,2011
57,Whitman,Adams,473.0,40.0,2011
58,Whitman,Broadview-Thomson,656.0,-90.0,2011
59,Whitman,Daniel Bagley,393.0,8.0,2011
60,Whitman,Greenwood,332.0,5.0,2011
61,Whitman,Loyal Heights,401.0,6.0,2011
62,Whitman,North Beach,315.0,-13.0,2011
63,Whitman,Northgate,231.0,-35.0,2011
64,Whitman,Salmon Bay,617.0,28.0,2011
65,Whitman,Viewlands,176.0,176.0,2011
66,Whitman,Whittier,460.0,7.0,2011
67,Middle Schools,Aki Kurose,658.0,70.0,2011
68,Middle Schools,Denny Intl,861.0,80.0,2011
69,Middle Schools,Eckstein,1278.0,65.0,2011
70,Middle Schools,Hamilton Intl,919.0,66.0,2011
71,Middle Schools,Madison,828.0,-21.0,2011
72,Middle Schools,McClure,483.0,-31.0,2011
73,Middle Schools,Mercer,924.0,117.0,2011
74,Middle Schools,Washington,1123.0,62.0,2011
75,Middle Schools,Whitman,983.0,29.0,2011
76,High Schools,Ballard,1636.0,26.0,2011
77,High Schools,Center School,278.0,-21.0,2011
78,High Schools,Chief Sealth Intl,1239.0,161.0,2011
79,High Schools,Cleveland,819.0,81.0,2011
80,High Schools,Franklin,1415.0,114.0,2011
81,High Schools,Garfield,1721.0,-67.0,2011
82,High Schools,Ingraham,949.0,-21.0,2011
83,High Schools,Nathan Hale,1144.0,15.0,2011
84,High Schools,Nova,340.0,8.0,2011
85,High Schools,Rainier Beach,365.0,-60.0,2011
86,High Schools,Roosevelt,1662.0,-23.0,2011
87,High Schools,West Seattle,995.0,-21.0,2011
88,Service Schools,Ed. Serv. Center,16.0,-33.0,2011
89,Service Schools,Home School Resource,184.0,30.0,2011
90,Service Schools,InterAgency,420.0,54.0,2011
91,Service Schools,Middle College,184.0,10.0,2011
92,Service Schools,Secondary BOC,203.0,-9.0,2011
93,Service Schools,South Lake,143.0,-22.0,2011
94,Service Schools,SpEd Consortium,151.0,6.0,2011
95,All,TOTAL,48496.0,1488.0,2011
0,Aki Kurose,Martin Luther King Jr.,362.0,13.0,2012
1,Aki Kurose,Dunlap,376.0,12.0,2012
2,Aki Kurose,Emerson,287.0,-37.0,2012
3,Aki Kurose,Graham Hill,403.0,15.0,2012
4,Aki Kurose,Rainier View,181.0,12.0,2012
5,Aki Kurose,South Shore,621.0,27.0,2012
6,Aki Kurose,Wing Luke,331.0,-20.0,2012
7,Denny,Arbor Heights,337.0,-26.0,2012
8,Denny,Concord Intl,409.0,18.0,2012
9,Denny,Highland Park,427.0,-7.0,2012
10,Denny,K-5 STEM at Boren,268.0,268.0,2012
11,Denny,Roxhill,368.0,-9.0,2012
12,Denny,Sanislo,281.0,-21.0,2012
13,Denny,West Seattle Elem,399.0,-7.0,2012
14,Eckstein,Bryant,579.0,31.0,2012
15,Eckstein,Green Lake,259.0,-5.0,2012
16,Eckstein,Jane Addams,581.0,48.0,2012
17,Eckstein,John Rogers,307.0,60.0,2012
18,Eckstein,Olympic Hills,271.0,4.0,2012
19,Eckstein,Olympic View,481.0,12.0,2012
20,Eckstein,Pinehurst,148.0,5.0,2012
21,Eckstein,Sacajawea,260.0,0.0,2012
22,Eckstein,Sand Point,231.0,29.0,2012
23,Eckstein,Thornton Creek,362.0,-9.0,2012
24,Eckstein,View Ridge,598.0,8.0,2012
25,Eckstein,Wedgwood,471.0,25.0,2012
26,Hamilton,APP at Lincoln,524.0,96.0,2012
27,Hamilton,B. F. Day,336.0,15.0,2012
28,Hamilton,J. Stanford Intl,451.0,-9.0,2012
29,Hamilton,Laurelhurst,410.0,-10.0,2012
30,Hamilton,McDonald Intl,277.0,90.0,2012
31,Hamilton,West Woodland,486.0,13.0,2012
32,Madison,Alki,357.0,2.0,2012
33,Madison,Gatewood,461.0,-23.0,2012
34,Madison,Lafayette,548.0,1.0,2012
35,Madison,Pathfinder,484.0,-6.0,2012
36,Madison,Schmitz Park,536.0,73.0,2012
37,McClure,Catharine Blaine,621.0,40.0,2012
38,McClure,Coe,452.0,29.0,2012
39,McClure,John Hay,546.0,16.0,2012
40,McClure,Lawton,433.0,-7.0,2012
41,McClure,Queen Anne,279.0,56.0,2012
42,Mercer,Beacon Hill Intl,461.0,9.0,2012
43,Mercer,Dearborn Park,337.0,28.0,2012
44,Mercer,Hawthorne,321.0,25.0,2012
45,Mercer,Kimball,475.0,4.0,2012
46,Mercer,Maple,473.0,-7.0,2012
47,Mercer,Orca,492.0,3.0,2012
48,Mercer,Van Asselt,523.0,-9.0,2012
49,Washington,Gatzert,378.0,7.0,2012
50,Washington,John Muir,459.0,55.0,2012
51,Washington,Leschi,366.0,-12.0,2012
52,Washington,Lowell,182.0,-6.0,2012
53,Washington,Madrona,275.0,-40.0,2012
54,Washington,McGilvra,301.0,3.0,2012
55,Washington,Montlake,238.0,0.0,2012
56,Washington,Stevens,377.0,6.0,2012
57,Washington,T. Marshall,455.0,4.0,2012
58,Washington,TOPS,498.0,-3.0,2012
59,Whitman,Adams,482.0,9.0,2012
60,Whitman,Broadview-Thomson,639.0,-17.0,2012
61,Whitman,Daniel Bagley,402.0,9.0,2012
62,Whitman,Greenwood,357.0,25.0,2012
63,Whitman,Loyal Heights,426.0,25.0,2012
64,Whitman,North Beach,314.0,-1.0,2012
65,Whitman,Northgate,248.0,17.0,2012
66,Whitman,Salmon Bay,694.0,77.0,2012
67,Whitman,Viewlands,246.0,70.0,2012
68,Whitman,Whittier,466.0,6.0,2012
69,Middle Schools,Aki Kurose,743.0,85.0,2012
70,Middle Schools,Denny Intl,896.0,35.0,2012
71,Middle Schools,Eckstein,1298.0,20.0,2012
72,Middle Schools,Hamilton Intl,974.0,55.0,2012
73,Middle Schools,Madison,752.0,-76.0,2012
74,Middle Schools,McClure,448.0,-35.0,2012
75,Middle Schools,Mercer,983.0,59.0,2012
76,Middle Schools,Washington,1160.0,37.0,2012
77,Middle Schools,Whitman,971.0,-12.0,2012
78,High Schools,Ballard,1609.0,-27.0,2012
79,High Schools,Center School,285.0,7.0,2012
80,High Schools,Chief Sealth Intl,1275.0,36.0,2012
81,High Schools,Cleveland,838.0,19.0,2012
82,High Schools,Franklin,1445.0,30.0,2012
83,High Schools,Garfield,1669.0,-52.0,2012
84,High Schools,Ingraham,1018.0,69.0,2012
85,High Schools,Nathan Hale,1171.0,27.0,2012
86,High Schools,Nova,340.0,0.0,2012
87,High Schools,Rainier Beach,407.0,42.0,2012
88,High Schools,Roosevelt,1691.0,29.0,2012
89,High Schools,West Seattle,968.0,-27.0,2012
90,Service Schools,Ed. Serv. Center,18.0,2.0,2012
91,Service Schools,Home School Resource,182.0,-2.0,2012
92,Service Schools,InterAgency,394.0,-26.0,2012
93,Service Schools,Middle College,169.0,-15.0,2012
94,Service Schools,World School,187.0,-16.0,2012
95,Service Schools,South Lake,127.0,-16.0,2012
96,Service Schools,SpEd Consortium,162.0,11.0,2012
97,All,TOTAL,49864.0,1368.0,2012
0,Aki Kurose,Dunlap,362.0,-14.0,2013
1,Aki Kurose,Emerson,285.0,-2.0,2013
2,Aki Kurose,Graham Hill,398.0,-5.0,2013
3,Aki Kurose,Martin Luther King Jr.,363.0,1.0,2013
4,Aki Kurose,Rainier View,201.0,20.0,2013
5,Aki Kurose,South Shore,625.0,4.0,2013
6,Aki Kurose,Wing Luke,350.0,19.0,2013
7,Denny,Arbor Heights,364.0,27.0,2013
8,Denny,Concord Intl,394.0,-15.0,2013
9,Denny,Highland Park,419.0,-8.0,2013
10,Denny,K-5 STEM at Boren,327.0,59.0,2013
11,Denny,Roxhill,377.0,9.0,2013
12,Denny,Sanislo,273.0,-8.0,2013
13,Denny,West Seattle Elem,424.0,25.0,2013
14,Eckstein,Bryant,594.0,15.0,2013
15,Eckstein,Green Lake,257.0,-2.0,2013
16,Eckstein,Jane Addams,737.0,156.0,2013
17,Eckstein,John Rogers,323.0,16.0,2013
18,Eckstein,Laurelhurst,427.0,17.0,2013
19,Eckstein,Olympic Hills,297.0,26.0,2013
20,Eckstein,Olympic View,465.0,-16.0,2013
21,Eckstein,Pinehurst,152.0,4.0,2013
22,Eckstein,Sacajawea,252.0,-8.0,2013
23,Eckstein,Sand Point,271.0,40.0,2013
24,Eckstein,Thornton Creek,389.0,27.0,2013
25,Eckstein,View Ridge,601.0,3.0,2013
26,Eckstein,Wedgwood,482.0,11.0,2013
27,Hamilton,APP at Lincoln,598.0,74.0,2013
28,Hamilton,B. F. Day,324.0,-12.0,2013
29,Hamilton,J. Stanford Intl,458.0,7.0,2013
30,Hamilton,McDonald Intl,365.0,88.0,2013
31,Hamilton,West Woodland,519.0,33.0,2013
32,Madison,Alki,384.0,27.0,2013
33,Madison,Gatewood,500.0,39.0,2013
34,Madison,Lafayette,571.0,23.0,2013
35,Madison,Pathfinder,502.0,18.0,2013
36,Madison,Schmitz Park,584.0,48.0,2013
37,McClure,Catharine Blaine,642.0,21.0,2013
38,McClure,Coe,508.0,56.0,2013
39,McClure,John Hay,547.0,1.0,2013
40,McClure,Lawton,422.0,-11.0,2013
41,McClure,Queen Anne,338.0,59.0,2013
42,Mercer,Beacon Hill Intl,465.0,4.0,2013
43,Mercer,Dearborn Park,349.0,12.0,2013
44,Mercer,Hawthorne,348.0,27.0,2013
45,Mercer,Kimball,447.0,-28.0,2013
46,Mercer,Maple,453.0,-20.0,2013
47,Mercer,Orca,484.0,-8.0,2013
48,Mercer,Van Asselt,531.0,8.0,2013
49,Washington,Gatzert,374.0,-4.0,2013
50,Washington,John Muir,450.0,-9.0,2013
51,Washington,Leschi,379.0,13.0,2013
52,Washington,Lowell,208.0,26.0,2013
53,Washington,Madrona,285.0,10.0,2013
54,Washington,McGilvra,289.0,-12.0,2013
55,Washington,Montlake,232.0,-6.0,2013
56,Washington,Stevens,406.0,29.0,2013
57,Washington,T. Marshall,496.0,41.0,2013
58,Washington,TOPS,500.0,2.0,2013
59,Whitman,Adams,515.0,33.0,2013
60,Whitman,Broadview-Thomson,661.0,22.0,2013
61,Whitman,Daniel Bagley,399.0,-3.0,2013
62,Whitman,Greenwood,367.0,10.0,2013
63,Whitman,Loyal Heights,440.0,14.0,2013
64,Whitman,North Beach,306.0,-8.0,2013
65,Whitman,Northgate,216.0,-32.0,2013
66,Whitman,Salmon Bay,675.0,-19.0,2013
67,Whitman,Viewlands,314.0,68.0,2013
68,Whitman,Whittier,476.0,10.0,2013
69,Middle Schools,Aki Kurose,741.0,-2.0,2013
70,Middle Schools,Denny Intl,944.0,48.0,2013
71,Middle Schools,Eckstein,1220.0,-78.0,2013
72,Middle Schools,Hamilton Intl,1108.0,134.0,2013
73,Middle Schools,Madison,777.0,25.0,2013
74,Middle Schools,McClure,520.0,72.0,2013
75,Middle Schools,Mercer,967.0,-16.0,2013
76,Middle Schools,Washington,1165.0,5.0,2013
77,Middle Schools,Whitman,955.0,-16.0,2013
78,High Schools,Ballard,1582.0,-27.0,2013
79,High Schools,Center School,283.0,-2.0,2013
80,High Schools,Chief Sealth Intl,1249.0,-26.0,2013
81,High Schools,Cleveland,843.0,5.0,2013
82,High Schools,Franklin,1373.0,-72.0,2013
83,High Schools,Garfield,1604.0,-65.0,2013
84,High Schools,Ingraham,1074.0,56.0,2013
85,High Schools,Nathan Hale,1119.0,-52.0,2013
86,High Schools,Nova,331.0,-9.0,2013
87,High Schools,Rainier Beach,484.0,77.0,2013
88,High Schools,Roosevelt,1712.0,21.0,2013
