OBJECTID,NEIGH_NO,NEIGH_NAME,UV_TYPE,TYPE_NAME,AREA_ACRES,F1990_PL_data_TOT_POP,F1990_PL_data_WHITE_NOT,F1990_PL_data_BLACK_NOT,F1990_PL_data_AMI_NOT,F1990_PL_data_ASIAN_NOT,F1990_PL_data_OTHER_NOT,F1990_PL_data_WHITE_HISP,F1990_PL_data_BLACK_HISP,F1990_PL_data_AMI_HISP,F1990_PL_data_ASIAN_HISP,F1990_PL_data_OTHER_HISP,F1990_PL_data_HISPANIC,F1990_PL_data_NOT_HISP,F1990_PL_data_POC,F1990_PL_data_POP_UNDER_18,F1990_PL_data_POC_U_18,F1990_PL_data_POP_OVER_18,F1990_PL_data_HU,F1990_PL_data_HU_OCC,F1990_PL_data_HU_VAC,F2000_PL_data_TOT_POP,F2000_PL_data_POP_ONE,F2000_PL_data_WHITE_ALONE,F2000_PL_data_BLACK_ALONE,F2000_PL_data_AMI_ALONE,F2000_PL_data_ASIAN_ALONE,F2000_PL_data_PI_ALONE,F2000_PL_data_OTHER_ALONE,F2000_PL_data_TWO_MORE,F2000_PL_data_HISPANIC,F2000_PL_data_NOT_HISPANIC,F2000_PL_data_WHITE_NOT_HISPANI,F2000_PL_data_BLACK_NOT_HISPANI,F2000_PL_data_AMI_NOT_HISPANIC,F2000_PL_data_ASIAN_NOT_HISPANI,F2000_PL_data_PI_NOT_HISPANIC,F2000_PL_data_OTHER_NOT_HISPANI,F2000_PL_data_TWO__NOT_HISPANIC,F2000_PL_data_POC,F2000_PL_data_POP_OVER_18,F2000_PL_data_POP_UNDER_18,F2000_PL_data_U_18_POC,F2000_PL_data_HU,F2000_PL_data_HU_OCC,F2000_PL_data_HU_VAC,F2010_PL_data_TOT_POP,F2010_PL_data_POP_ONE,F2010_PL_data_WHITE_ALONE,F2010_PL_data_BLACK_ALONE,F2010_PL_data_AMI_ALONE,F2010_PL_data_ASIAN_ALONE,F2010_PL_data_PI_ALONE,F2010_PL_data_OTHER_ALONE,F2010_PL_data_TWO_MORE,F2010_PL_data_HISPANIC,F2010_PL_data_NOT_HISPANIC,F2010_PL_data_WHITE_NOT_HISPANI,F2010_PL_data_BLACK_NOT_HISPANI,F2010_PL_data_AMI_NOT_HISPANIC,F2010_PL_data_ASIAN_NOT_HISPANI,F2010_PL_data_PI_NOT_HISPANIC,F2010_PL_data_OTHER_NOT_HISPANI,F2010_PL_data_TWO__NOT_HISPANIC,F2010_PL_data_POC,F2010_PL_data_POP_OVER_18,F2010_PL_data_POP_UNDER_18,F2010_PL_data_U_18_POC,F2010_PL_data_HU,F2010_PL_data_HU_OCC,F2010_PL_data_HU_VACANT,F2020_PL_data_TOT_POP,F2020_PL_data_POP_ONE,F2020_PL_data_WHITE_ALONE,F2020_PL_data_BLACK_ALONE,F2020_PL_data_AMI_ALONE,F2020_PL_data_ASIAN_ALONE,F2020_PL_data_PI_ALONE,F2020_PL_data_OTHER_ALONE,F2020_PL_data_TWO_MORE,F2020_PL_data_HISPANIC,F2020_PL_data_NOT_HISPANIC,F2020_PL_data_WHITE_NOT_HISPANI,F2020_PL_data_BLACK_NOT_HISPANI,F2020_PL_data_AMI_NOT_HISPANIC,F2020_PL_data_ASIAN_NOT_HISPANI,F2020_PL_data_PI_NOT_HISPANIC,F2020_PL_data_OTHER_NOT_HISPANI,F2020_PL_data_TWO__NOT_HISPANIC,F2020_PL_data_POC,F2020_PL_data_POP_OVER_18,F2020_PL_data_POP_UNDER_18,F2020_PL_data_U_18_POC,F2020_PL_data_HU,F2020_PL_data_HU_OCC,F2020_PL_data_HU_VACANT,F1990_PL_data_GQ_I,F1990_PL_data_GQ_N_I,F2000_PL_data_GQ_I,F2000_PL_data_GQ_N_I,F2010_PL_data_GQ_I,F2010_PL_data_GQ_N_I,F2020_PL_data_GQ_I,F2020_PL_data_GQ_N_I,Shape__Area,Shape__Length,change,perc_change
1,106,Upper Queen Anne,RUV,Residential Urban Village,52.65872029,1921,1715,56,11,71,3,30,2,1,4,28,65,1856,206,125,28,1796,1334,1274,60,2018,1963,1784,38,12,92,2,35,55,64,1954,1753,37,12,91,2,12,47,265,1892,126,23,1415,1350,65,2143,2036,1809,48,10,147,2,20,107,98,2045,1749,47,10,145,2,2,90,394,2007,136,41,1570,1438,132,2604,2352,1979,54,16,257,7,39,252,175,2429,1921,48,8,256,7,14,175,683,2403,201,106,1829,1718,111,0,37,0,0,0,4,0,0,2293804.686,11354.22008,461,0.2151189920671955
2,302,Fremont,HUV,Hub Urban Village,214.511083,3153,2697,90,64,189,6,43,2,4,4,54,107,3046,456,266,68,2887,2000,1890,110,3441,3321,2954,76,43,189,4,55,120,154,3287,2875,76,31,189,4,15,97,566,3270,171,67,2188,2122,66,3960,3768,3249,104,23,326,7,59,192,173,3787,3160,100,20,321,7,18,161,800,3745,215,102,2558,2369,189,5841,5257,4100,145,44,825,9,134,584,409,5432,3997,140,26,814,8,41,406,1844,5502,339,173,3611,3477,134,0,47,0,63,0,90,0,66,9344065.394,16236.22258,1881,0.475
3,205,West Seattle Junction,HUV,Hub Urban Village,270.4170255,3627,3169,145,33,150,0,51,1,9,10,59,130,3497,458,413,109,3214,1921,1793,128,4127,3973,3321,161,55,221,29,186,154,357,3770,3191,157,44,217,28,17,116,936,3693,434,176,2297,2161,136,5043,4786,4075,186,53,321,29,122,257,379,4664,3892,175,44,319,27,5,202,1151,4605,438,206,3213,2946,267,9160,8249,6444,414,47,1015,29,300,911,820,8340,6238,402,28,1000,24,43,605,2922,8483,677,294,6156,5790,366,401,14,358,13,272,0,235,12,11779318.53,20674.9307,4117,0.8163791394011501
4,111,Columbia City,RUV,Residential Urban Village,334.5433404,4281,898,1827,111,1269,11,32,31,4,38,60,165,4116,3383,1335,1199,2946,1856,1698,158,4991,4636,885,1578,105,1795,55,218,355,394,4597,781,1561,85,1778,48,27,317,4210,3568,1423,1339,1981,1839,142,4609,4352,1473,1312,38,1306,13,210,257,441,4168,1317,1288,22,1301,13,7,220,3292,3641,968,809,2116,1946,170,7661,6915,2972,1968,64,1571,17,323,746,643,7018,2868,1943,29,1562,16,46,554,4793,6183,1478,1164,3487,3341,146,0,5,98,7,95,20,102,80,14572649.61,25210.67846,3052,0.6621826860490345
5,414,First Hill/Capitol Hill,UC,Urban Center,916.2218015,28940,21504,3037,534,2403,45,688,110,61,86,472,1417,27523,7436,1729,993,27211,20617,18847,1770,33902,32359,24537,3036,487,3270,191,838,1543,2115,31787,23547,2962,442,3243,186,111,1296,10355,32021,1881,1329,22436,21263,1173,35892,34089,25576,2902,401,4206,139,865,1803,2630,33262,24211,2843,337,4164,134,107,1466,11681,34106,1786,1292,25480,22883,2597,49174,43864,29802,3410,354,8552,160,1586,5310,4576,44598,28660,3333,252,8453,148,307,3445,20514,47280,1894,1372,34127,31468,2659,660,1370,782,2278,332,2329,846,3135,39910461.99,31324.33554,13282,0.3700546082692522
6,202,Roosevelt,RUV,Residential Urban Village,170.2117761,2210,1942,58,17,113,1,49,5,0,4,21,79,2131,268,295,41,1915,1100,1053,47,2479,2363,2074,52,21,169,7,40,116,107,2372,2026,51,21,169,4,4,97,453,2198,281,74,1233,1159,74,2616,2491,2161,66,11,214,3,36,125,136,2480,2072,66,10,213,3,10,106,544,2283,333,78,1303,1214,89,4678,4132,3064,147,29,755,2,135,546,361,4317,2984,138,22,753,2,45,373,1694,4213,465,181,2973,2754,219,0,0,0,17,12,6,0,17,7414395.309,12734.46167,2062,0.7882262996941896
7,312,South Lake Union,UC,Urban Center,339.886927,1116,960,42,14,39,4,41,3,2,0,11,57,1059,156,80,19,1036,681,650,31,1547,1485,1179,173,32,71,3,27,62,91,1456,1125,167,30,71,2,4,57,422,1425,122,75,889,746,143,3774,3584,2663,394,36,410,18,63,190,235,3539,2517,388,30,406,18,6,174,1257,3616,158,113,2781,2459,322,12905,11900,5351,697,70,5449,23,310,1005,927,11978,5094,683,46,5438,22,63,632,7811,12356,549,410,9210,8384,826,0,122,82,351,11,258,337,273,14805415.29,22534.21092,9131,2.419448860625331
8,401,University District,UC,Urban Center,751.9638778,18166,13181,592,201,3484,35,325,21,13,53,261,673,17493,4985,592,289,17574,6474,6197,277,19664,18613,13635,456,136,4024,60,302,1051,868,18796,13213,449,114,3996,60,47,917,6451,19105,559,292,7056,6782,274,22875,21394,13898,587,111,6329,84,385,1481,1225,21650,13219,561,90,6295,80,49,1356,9656,22423,452,265,8420,7715,705,29887,27259,13758,1061,175,11048,100,1117,2628,2579,27308,12900,1011,130,10998,92,138,2039,16987,28951,936,642,11688,10397,1291,82,6691,0,7263,30,8738,41,11963,32755415.51,34394.18552,7012,0.30653551912568305
9,103,Crown Hill,RUV,Residential Urban Village,270.9887543,3600,3197,58,60,172,8,61,0,10,4,30,105,3495,403,579,102,3021,1824,1761,63,3874,3729,3301,68,71,225,5,59,145,162,3712,3222,67,69,221,5,13,115,652,3230,644,174,1905,1842,63,4191,3932,3407,121,29,224,6,145,259,386,3805,3224,117,24,218,6,12,204,967,3444,747,249,1977,1901,76,4893,4314,3515,97,30,557,15,100,579,294,4599,3466,95,20,550,15,33,420,1427,3966,927,333,2288,2211,77,0,15,0,30,0,24,0,17,11804222.94,18675.80797,702,0.16750178954903364
10,127,Westwood-Highland Park,RUV,Residential Urban Village,275.0621961,3765,2269,327,121,727,12,141,1,11,18,138,309,3456,1496,970,508,2795,1703,1631,72,4330,4041,1921,560,94,770,66,630,289,812,3518,1796,541,86,770,66,18,241,2534,3239,1091,855,1949,1849,100,4606,4282,2198,545,124,773,33,609,324,1183,3423,1807,524,82,762,32,4,212,2799,3513,1093,882,2123,1944,179,4751,3993,2014,635,88,666,22,568,758,1129,3622,1877,618,40,665,18,36,368,2874,3804,947,738,2241,2116,125,0,0,0,0,0,2,0,36,11981661.32,18487.42827,145,0.03148067737733391
11,201,Lake City,HUV,Hub Urban Village,142.2670425,2111,1578,141,22,278,4,25,1,0,10,52,88,2023,533,253,110,1858,1330,1246,84,2728,2552,1641,224,35,507,20,125,176,273,2455,1525,223,32,506,20,7,142,1203,2334,394,260,1544,1493,51,3899,3620,2108,462,63,763,28,196,279,494,3405,1914,440,39,758,25,5,224,1985,3392,507,379,2419,2178,241,5081,4622,2486,786,58,951,10,331,459,666,4415,2334,777,23,948,7,40,286,2747,4459,622,463,2988,2838,150,0,0,0,0,1,23,0,25,6197127.591,11175.72745,1182,0.3031546550397538
12,502,Greater Duwamish,MIC,Manufacturing Industrial,4953.281793,1390,1015,111,58,92,3,37,6,7,0,61,111,1279,375,148,87,1242,378,317,61,1348,1302,733,163,51,90,2,263,46,369,979,611,159,48,90,1,34,36,737,1135,213,168,454,401,53,1064,1038,624,113,58,57,16,170,26,271,793,538,107,53,56,16,4,19,526,929,135,114,415,338,77,1836,1524,849,188,85,154,29,219,312,460,1376,759,180,56,148,27,29,177,1077,1591,245,186,446,418,28,0,727,0,461,0,356,0,650,215764091.8,239636.7674,772,0.7255639097744361
13,131,Madison-Miller,RUV,Residential Urban Village,145.3234203,2829,1366,1213,34,110,16,41,15,1,2,31,90,2739,1463,480,374,2349,1581,1466,115,3098,2966,1954,792,26,126,3,65,132,189,2909,1844,787,18,124,3,12,121,1254,2764,334,224,1796,1718,78,4066,3832,2697,658,16,326,7,128,234,295,3771,2571,649,13,323,7,10,198,1495,3616,450,301,2414,2266,148,5611,4997,3527,510,20,788,8,144,614,486,5125,3398,491,14,778,7,24,413,2213,5129,482,283,3568,3388,180,19,72,32,52,29,66,96,19,6330262.869,12181.18931,1545,0.37998032464338416
14,207,Green Lake,RUV,Residential Urban Village,107.4446385,2119,1919,32,17,102,0,32,1,0,0,16,49,2070,200,103,19,2016,1423,1380,43,2342,2258,1986,52,26,166,5,23,84,70,2272,1947,51,23,165,5,7,74,395,2248,94,33,1535,1485,50,2904,2759,2361,53,15,292,4,34,145,126,2778,2285,50,13,290,3,7,130,619,2741,163,51,2008,1843,165,3934,3500,2785,87,16,535,8,69,434,288,3646,2696,84,10,528,7,14,307,1238,3669,265,151,2484,2350,134,51,0,73,13,37,0,136,0,4680269.698,11358.16013,1030,0.3546831955922865
15,301,Northgate,UC,Urban Center,412.2911233,4958,3692,261,49,709,3,104,12,10,23,95,244,4714,1266,439,202,4519,3165,3008,157,6131,5711,3687,529,74,1188,35,198,420,380,5751,3565,517,69,1185,34,14,367,2566,5446,685,473,3650,3504,146,6620,6229,3670,721,91,1368,69,310,391,692,5928,3376,706,75,1357,69,26,319,3244,5794,826,628,4346,3778,568,7950,7173,3981,858,72,1827,32,403,777,853,7097,3836,853,48,1815,29,31,485,4114,7088,862,593,4849,4541,308,27,0,31,31,29,0,14,191,17959329.48,28319.05722,1330,0.20090634441087613
16,110,North Beacon Hill,RUV,Residential Urban Village,266.8762908,5067,1078,535,136,3013,4,57,17,12,75,140,301,4766,3989,1001,857,4066,2087,1987,100,5206,4858,1405,381,104,2646,34,288,348,707,4499,1151,374,61,2639,33,13,228,4055,4214,992,888,2199,2073,126,5217,4922,1998,344,59,1961,16,544,295,941,4276,1688,325,45,1951,16,16,235,3529,4414,803,627,2396,2224,172,5748,5047,2381,334,86,1596,20,630,701,1034,4714,2273,315,22,1590,20,18,476,3475,4891,857,609,2739,2613,126,0,5,0,52,0,56,0,43,11625084.72,19144.40093,531,0.10178263369752731
17,501,Ballard-Interbay-Northend,MIC,Manufacturing Industrial,931.9728637,1224,973,71,40,57,0,48,9,4,3,19,83,1141,251,107,32,1117,521,476,45,1364,1314,1145,45,23,44,3,54,50,100,1264,1107,44,22,44,3,2,42,257,1298,66,42,577,547,30,1598,1525,1158,130,24,108,21,84,73,175,1423,1076,127,23,107,19,5,66,522,1531,67,23,623,571,52,1849,1584,1118,116,36,182,7,125,265,286,1563,1041,110,28,174,7,12,191,808,1644,205,146,752,688,64,0,414,0,508,0,727,0,425,40596575.63,106349.8096,251,0.15707133917396746
18,102,Greenwood-Phinney Ridge,RUV,Residential Urban Village,94.15764497,2016,1719,33,36,127,9,31,0,2,1,58,92,1924,297,260,57,1756,1175,1131,44,2308,2195,1809,125,20,155,3,83,113,170,2138,1737,123,20,155,3,9,91,571,1953,355,156,1283,1226,57,2927,2784,2232,180,27,228,6,111,143,221,2706,2128,176,24,227,5,16,130,799,2553,374,177,1729,1634,95,3492,3164,2534,166,28,314,11,111,328,252,3240,2452,164,17,310,10,32,255,1040,3082,410,189,2161,2068,93,0,0,0,9,0,29,0,4,4101490.614,22009.59058,565,0.19303040655961737
19,413,Downtown,UC,Urban Center,953.2817465,12193,8045,1858,374,1216,11,291,97,64,58,179,689,11504,4148,276,160,11917,7432,6650,782,21555,20675,13787,3089,495,2848,54,402,880,1157,20398,13230,3028,460,2831,51,61,737,8325,20800,755,531,12852,11361,1491,26844,25738,16893,2970,474,4830,85,486,1106,1670,25174,15965,2897,432,4802,77,81,920,10879,26111,733,471,20022,16643,3379,41875,38374,21128,3249,425,12300,116,1156,3501,3263,38612,20220,3161,329,12265,106,288,2243,21655,40268,1607,1160,29531,26404,3127,1902,1924,3199,3374,1766,2692,921,2523,41524786.87,49645.20687,15031,0.5599389062732827
20,412,Uptown,UC,Urban Center,333.000698,4472,3861,183,59,197,10,82,3,2,9,66,162,4310,611,172,62,4300,3505,3286,219,5085,4923,4332,166,50,287,6,82,162,243,4842,4194,162,41,285,6,8,146,891,4938,147,60,4135,3709,426,7300,7004,5824,258,55,720,13,134,296,457,6843,5561,248,42,711,13,23,245,1739,7078,222,109,5799,5106,693,11840,10772,6993,556,74,2732,21,396,1068,1023,10817,6729,538,51,2713,14,80,692,5111,11244,596,377,8174,7680,494,0,34,0,50,0,248,4,555,14505452.4,21990.92924,4540,0.6219178082191781
21,204,Rainier Beach,RUV,Residential Urban Village,346.1438736,3393,740,1447,129,855,3,19,31,12,45,112,219,3174,2653,1159,1008,2234,1525,1209,316,4339,4059,734,1510,73,1314,132,296,280,540,3799,597,1469,58,1310,127,2,236,3742,3146,1193,1147,1583,1506,77,4094,3909,681,1761,58,1015,48,346,185,621,3473,497,1733,45,1011,44,7,136,3597,3007,1087,1033,1635,1469,166,4830,4474,825,1944,44,1086,36,539,356,794,4036,772,1911,9,1075,35,12,222,4058,3550,1280,1161,1865,1761,104,0,89,0,147,0,105,0,0,15077966.84,23076.56063,736,0.1797752808988764
22,109,23rd & Union-Jackson,RUV,Residential Urban Village,625.2664128,7631,1174,4806,82,1222,19,86,66,3,24,149,328,7303,6457,2036,1846,5595,3465,3018,447,8986,8338,2480,3812,103,1357,21,565,648,1094,7892,2140,3735,80,1347,20,30,540,6846,6883,2103,1922,3825,3589,236,10460,9754,4598,3030,82,1519,49,476,706,1014,9446,4213,3001,61,1502,47,22,600,6247,8647,1813,1399,5411,4749,662,13610,12043,6443,2619,119,2228,63,571,1567,1297,12313,6176,2572,64,2208,56,93,1144,7434,11708,1902,1339,7142,6622,520,311,43,222,187,294,59,120,125,27236495.96,30284.42119,3150,0.3011472275334608
23,114,Bitter Lake Village,HUV,Hub Urban Village,363.7795662,3573,3015,92,51,287,1,76,6,2,5,38,127,3446,558,379,112,3194,2335,2179,156,3658,3487,2621,172,51,490,17,136,171,321,3337,2467,171,44,485,16,4,150,1191,3262,396,252,2255,2178,77,4519,4227,2756,521,55,629,37,229,292,442,4077,2610,515,46,622,34,11,239,1909,3922,597,405,3205,2667,538,6100,5386,2903,1022,78,843,23,517,714,918,5182,2774,1008,51,840,23,32,454,3326,5171,929,738,3633,3411,222,0,35,0,33,0,37,0,121,15846174.5,25039.35694,1581,0.3498561628678911
24,305,Mt Baker,HUV,Hub Urban Village,491.0180584,3665,857,1225,50,1384,15,27,23,11,24,49,134,3531,2808,931,822,2734,1540,1423,117,4544,4262,1103,1114,59,1872,25,89,282,226,4318,1009,1108,53,1867,24,11,246,3535,3528,1016,941,1782,1696,86,5325,4994,1483,1439,57,1759,18,238,331,501,4824,1316,1422,45,1751,15,3,272,4009,4279,1046,919,2321,2164,157,6777,6080,2267,1562,63,1886,28,274,697,623,6154,2174,1549,39,1872,26,33,461,4603,5705,1072,850,3188,3020,168,149,0,183,36,130,98,118,219,21388661.13,34862.95657,1452,0.27267605633802816
25,113,Admiral,RUV,Residential Urban Village,98.24835065,1186,1066,27,20,41,0,21,0,1,3,7,32,1154,120,145,26,1041,798,726,72,1352,1292,1165,30,16,50,6,25,60,58,1294,1140,30,15,49,5,0,55,212,1193,159,40,865,834,31,1528,1441,1260,56,18,89,3,15,87,96,1432,1204,54,13,88,3,1,69,324,1330,198,69,1054,962,92,1978,1819,1576,60,10,141,2,30,159,124,1854,1521,55,9,139,2,4,124,457,1763,215,78,1260,1212,48,0,0,0,0,0,0,63,0,4279681.028,14311.87695,450,0.29450261780104714
26,101,Aurora-Licton Springs,RUV,Residential Urban Village,326.9585992,4709,3696,252,87,450,6,116,6,9,10,77,218,4491,1013,745,246,3964,2352,2241,111,5517,5203,3686,485,103,658,28,243,314,507,5010,3499,468,96,652,27,12,256,2018,4781,736,449,2738,2630,108,6179,5785,4065,469,58,845,18,330,394,704,5475,3761,452,47,840,18,22,335,2418,5380,799,488,3267,3018,249,7064,6308,4005,524,111,1179,25,464,756,925,6139,3824,522,69,1162,24,29,509,3240,6236,828,524,3620,3499,121,128,6,91,78,0,24,0,172,14242259.59,20396.90269,885,0.14322705939472408
27,206,Morgan Junction,RUV,Residential Urban Village,113.3093773,1595,1370,64,29,79,0,23,1,3,4,22,53,1542,225,191,47,1404,1011,935,76,1886,1786,1505,119,16,81,15,50,100,106,1780,1453,118,16,81,15,6,91,433,1643,243,98,1128,1093,35,2046,1906,1596,122,19,118,4,47,140,171,1875,1508,116,17,115,4,5,110,538,1778,268,123,1267,1168,99,2366,2151,1784,98,13,183,3,70,215,159,2207,1748,98,13,183,3,16,146,618,2072,294,86,1460,1398,62,0,0,0,0,0,0,0,0,4935736.739,11902.57572,320,0.15640273704789834
28,107,Eastlake,RUV,Residential Urban Village,199.2559558,3613,3247,92,26,161,3,49,1,6,5,23,84,3529,366,142,29,3471,2460,2333,127,4075,3943,3490,95,26,291,8,33,132,114,3961,3412,93,25,289,5,13,124,663,3959,116,34,2819,2687,132,5084,4876,4173,128,22,459,15,79,208,249,4835,4044,118,17,456,15,13,172,1040,4882,202,71,3543,3118,425,6100,5552,4390,119,23,872,8,140,548,379,5721,4286,110,21,868,8,43,385,1814,5760,340,146,4105,3823,282,0,12,0,32,0,267,0,0,8679554.734,20271.21088,1016,0.1998426435877262
29,203,Wallingford,RUV,Residential Urban Village,258.0056129,4102,3634,81,38,192,4,88,1,4,5,55,153,3949,468,448,69,3654,2136,2069,67,4778,4622,4172,86,35,253,22,54,156,182,4596,4070,75,34,251,22,11,133,708,4301,477,112,2501,2436,65,5425,5170,4507,152,20,420,8,63,255,277,5148,4332,144,16,416,8,12,220,1093,4724,701,223,2979,2817,162,6506,5814,4688,201,25,744,14,142,692,415,6091,4575,197,21,740,12,33,513,1931,5667,839,375,3466,3288,178,0,0,0,141,5,0,0,83,11238679.56,18926.7181,1081,0.19926267281105992
30,303,Ballard,HUV,Hub Urban Village,495.4763052,8532,7537,152,181,336,7,157,1,11,11,139,319,8213,995,951,188,7581,5153,4947,206,9394,8990,8015,205,120,393,33,224,404,542,8852,7778,196,112,382,27,25,332,1616,8502,892,326,5639,5425,214,11440,10939,9757,244,100,632,31,175,501,649,10791,9387,224,87,614,31,22,426,2053,10476,964,352,7660,6834,826,17707,16048,12824,391,94,2289,35,415,1659,1244,16463,12459,368,63,2281,35,106,1151,5248,16364,1343,562,11335,10759,576,42,57,146,61,0,41,0,252,21582861.54,26473.09073,6267,0.5478146853146854
31,128,South Park,RUV,Residential Urban Village,263.7986201,2362,1457,193,70,284,1,136,8,9,14,190,357,2005,905,638,285,1724,1026,948,78,3091,2900,1376,266,57,455,51,695,191,1082,2009,1080,243,41,453,48,5,139,2011,2236,855,682,1058,999,59,3448,3227,1516,386,62,596,50,617,221,1212,2236,1111,332,37,590,49,5,112,2337,2593,855,715,1282,1144,138,3242,2796,1217,346,79,555,34,565,446,962,2280,1095,338,45,545,28,19,210,2147,2557,685,588,1294,1196,98,0,0,76,0,98,0,25,66,11491021.91,18040.54557,-206,-0.05974477958236659
32,123,Othello,RUV,Residential Urban Village,498.9632413,6178,864,2544,163,2246,16,42,38,37,55,173,345,5833,5314,2338,2137,3840,2210,2054,156,6530,6094,731,1967,82,2851,196,267,436,431,6099,635,1938,70,2839,193,22,402,5895,4442,2088,2013,2071,1889,182,9330,8891,1187,3303,43,3989,125,244,439,556,8774,988,3250,36,3966,125,22,387,8342,6571,2759,2633,3064,2898,166,11257,10560,1882,4151,69,4061,40,357,697,683,10574,1791,4114,38,4051,40,47,493,9466,8440,2817,2620,4140,3978,162,0,41,0,301,0,238,9,84,21734751.86,27209.57818,1927,0.20653804930332262
